"","Actuals","LastMonth_fcst","ThisMonth_fcst"
"1",6.0530533,NA,NA
"2",6.1406578,NA,NA
"3",6.249094,NA,NA
"4",6.3755883,NA,NA
"5",6.5200039,NA,NA
"6",6.706126,NA,NA
"7",6.9277564,NA,NA
"8",7.1729541,NA,NA
"9",7.4088383,NA,NA
"10",7.6206767,NA,NA
"11",7.8515748,NA,NA
"12",8.1301175,NA,NA
"13",8.4508903,NA,NA
"14",8.7927851,NA,NA
"15",9.112147,NA,NA
"16",9.3686312,NA,NA
"17",9.559849,NA,NA
"18",9.6750326,NA,NA
"19",9.7543933,NA,NA
"20",9.8390634,NA,NA
"21",9.9463635,NA,NA
"22",10.0789119,NA,NA
"23",10.1972607,NA,NA
"24",10.2758013,NA,NA
"25",10.3459167,NA,NA
"26",10.4193124,NA,NA
"27",10.5033404,NA,NA
"28",10.5918036,NA,NA
"29",10.673986,NA,NA
"30",10.7419827,NA,NA
"31",10.8088994,NA,NA
"32",10.8595892,NA,NA
"33",10.9096352,NA,NA
"34",10.9543389,NA,NA
"35",10.9918355,NA,NA
"36",10.9976416,NA,NA
"37",10.984904,NA,NA
"38",10.9383251,NA,NA
"39",10.8907234,NA,NA
"40",10.8688224,NA,NA
"41",10.870556,NA,NA
"42",10.8879889,NA,NA
"43",10.9054034,NA,NA
"44",10.9138218,NA,NA
"45",10.906567,NA,NA
"46",10.8651376,NA,NA
"47",10.8009999,NA,NA
"48",10.709905,NA,NA
"49",10.5837217,NA,NA
"50",10.4350114,NA,NA
"51",10.2677853,NA,NA
"52",10.0973127,NA,NA
"53",9.929288,NA,NA
"54",9.7631052,NA,NA
"55",9.5987585,NA,NA
"56",9.4460587,NA,NA
"57",9.296716,NA,NA
"58",9.1731894,NA,NA
"59",9.0524754,NA,NA
"60",8.9399699,NA,NA
"61",8.8260773,NA,NA
"62",8.7088297,NA,NA
"63",8.596465,NA,NA
"64",8.4963313,NA,NA
"65",8.4176447,NA,NA
"66",8.3793302,NA,NA
"67",8.3699168,NA,NA
"68",8.3753827,NA,NA
"69",8.382622,NA,NA
"70",8.3773664,NA,NA
"71",8.365887,NA,NA
"72",8.3661027,NA,NA
"73",8.3693141,NA,NA
"74",8.3823087,NA,NA
"75",8.3992029,NA,NA
"76",8.4224926,NA,NA
"77",8.451458,NA,NA
"78",8.4802026,NA,NA
"79",8.5151816,NA,NA
"80",8.555902,NA,NA
"81",8.5881738,NA,NA
"82",8.6105284,NA,NA
"83",8.6223349,NA,NA
"84",8.6173505,NA,NA
"85",8.6114505,NA,NA
"86",8.6026387,NA,NA
"87",8.5908799,NA,NA
"88",8.5739893,NA,NA
"89",8.5401371,NA,NA
"90",8.4870728,NA,NA
"91",8.4091298,NA,NA
"92",8.3064476,NA,NA
"93",8.194272,NA,NA
"94",8.0832066,NA,NA
"95",7.9849091,NA,NA
"96",7.9040786,NA,NA
"97",7.8407759,NA,NA
"98",7.7952324,NA,NA
"99",7.7731195,NA,NA
"100",7.7686994,NA,NA
"101",7.7887272,NA,NA
"102",7.797889,NA,NA
"103",7.788161,NA,NA
"104",7.7337537,NA,NA
"105",7.6426157,NA,NA
"106",7.5205595,NA,NA
"107",7.3901198,NA,NA
"108",7.2826957,NA,NA
"109",7.1936237,NA,NA
"110",7.1029978,NA,NA
"111",7.006127,NA,NA
"112",6.9250117,NA,NA
"113",6.8683283,NA,NA
"114",6.8500022,NA,NA
"115",6.8235383,NA,NA
"116",6.802981,NA,NA
"117",6.7840771,NA,NA
"118",6.7604987,NA,NA
"119",6.7309359,NA,NA
"120",6.6946802,NA,NA
"121",6.6499187,NA,NA
"122",6.6013513,NA,NA
"123",6.5329426,NA,NA
"124",6.4209013,NA,NA
"125",6.2825807,NA,NA
"126",6.1434267,NA,NA
"127",6.0551209,NA,NA
"128",6.0095075,NA,NA
"129",6.0087885,NA,NA
"130",6.0502138,NA,NA
"131",6.1227475,NA,NA
"132",6.2132038,NA,NA
"133",6.3120111,NA,NA
"134",6.4201349,NA,NA
"135",6.5211444,NA,NA
"136",6.7513855,NA,NA
"137",6.8217957,NA,NA
"138",6.8753225,NA,NA
"139",6.9091219,NA,NA
"140",6.9365379,NA,NA
"141",6.9608419,NA,NA
"142",6.9669433,NA,NA
"143",6.9419484,NA,NA
"144",6.8698661,NA,NA
"145",6.7616111,NA,NA
"146",6.6333072,NA,NA
"147",6.5096802,NA,NA
"148",6.4167719,NA,NA
"149",6.3600739,NA,NA
"150",6.3256416,NA,NA
"151",6.3053441,NA,NA
"152",6.2843948,NA,NA
"153",6.2474745,NA,NA
"154",6.2021626,NA,NA
"155",6.1563351,NA,NA
"156",6.1171588,NA,NA
"157",6.0861117,NA,NA
"158",6.0690018,NA,NA
"159",6.0683148,NA,NA
"160",6.0666128,NA,NA
"161",6.0541322,NA,NA
"162",6.0244926,NA,NA
"163",5.9740659,NA,NA
"164",5.903596,NA,NA
"165",5.8272367,NA,NA
"166",5.7548347,NA,NA
"167",5.6918147,NA,NA
"168",5.6389247,NA,NA
"169",5.5890415,NA,NA
"170",5.5387409,NA,NA
"171",5.4944944,NA,NA
"172",5.4714937,NA,NA
"173",5.4647366,NA,NA
"174",5.4619995,NA,NA
"175",5.4483918,NA,NA
"176",5.410079,NA,NA
"177",5.3424013,NA,NA
"178",5.2541097,NA,NA
"179",5.1695897,NA,NA
"180",5.1114317,NA,NA
"181",5.0894668,NA,NA
"182",5.0904243,NA,NA
"183",5.0911324,NA,NA
"184",5.0751784,NA,NA
"185",5.045269,NA,NA
"186",5.0102826,NA,NA
"187",4.9780411,NA,NA
"188",4.9635717,NA,NA
"189",4.9770321,NA,NA
"190",5.0095768,NA,NA
"191",5.0434881,NA,NA
"192",5.0618293,NA,NA
"193",5.0549584,NA,NA
"194",5.0210689,NA,NA
"195",4.9642375,NA,NA
"196",4.8973862,NA,NA
"197",4.8306004,NA,NA
"198",4.7713418,NA,NA
"199",4.7233157,NA,NA
"200",4.6789207,NA,NA
"201",4.6381871,NA,NA
"202",4.6071891,NA,NA
"203",4.5882825,NA,NA
"204",4.5700076,NA,NA
"205",4.5440007,NA,NA
"206",4.5028497,NA,NA
"207",4.4496574,NA,NA
"208",4.3874973,NA,NA
"209",4.32718,NA,NA
"210",4.2872739,NA,NA
"211",4.2781286,NA,NA
"212",4.298313,NA,NA
"213",4.3269861,NA,NA
"214",4.3340296,NA,NA
"215",4.3078164,NA,NA
"216",4.2556179,NA,NA
"217",4.1955097,NA,NA
"218",4.1527666,NA,NA
"219",4.1370178,NA,NA
"220",4.1476019,NA,NA
"221",4.1728366,NA,NA
"222",4.1950953,NA,NA
"223",4.2037669,NA,NA
"224",4.2078413,NA,NA
"225",4.2318735,NA,NA
"226",4.318545,NA,NA
"227",4.479389,NA,NA
"228",4.7015103,NA,NA
"229",4.962764,NA,NA
"230",5.2278301,NA,NA
"231",5.4603386,NA,NA
"232",5.6362863,NA,NA
"233",5.7386863,NA,NA
"234",5.7756611,NA,NA
"235",5.7690621,NA,NA
"236",5.7375012,NA,NA
"237",5.6838877,NA,NA
"238",5.6080011,NA,NA
"239",5.5263352,NA,NA
"240",5.4609193,NA,NA
"241",5.4072299,NA,NA
"242",5.3692473,NA,NA
"243",5.343833,NA,NA
"244",5.3141017,NA,NA
"245",5.27517,NA,NA
"246",5.2338518,NA,NA
"247",5.1913288,NA,NA
"248",5.1528831,NA,NA
"249",5.1251066,NA,NA
"250",5.1002021,NA,NA
"251",5.0676295,NA,NA
"252",5.028202,NA,NA
"253",4.9896226,NA,NA
"254",4.9558343,NA,NA
"255",4.935575,NA,NA
"256",4.9463188,NA,NA
"257",4.9838361,NA,NA
"258",5.0372816,NA,NA
"259",5.1011589,NA,NA
"260",5.1601927,NA,NA
"261",5.1962853,NA,NA
"262",5.2096496,NA,NA
"263",5.2015255,NA,NA
"264",5.1780434,NA,NA
"265",5.1508145,NA,NA
"266",5.1338652,NA,NA
"267",5.1209365,NA,NA
"268",5.1158633,NA,NA
"269",5.1301208,NA,NA
"270",5.1646819,NA,NA
"271",5.210575,NA,NA
"272",5.2609252,NA,NA
"273",5.3042975,NA,NA
"274",5.3344575,NA,NA
"275",5.3605015,NA,NA
"276",5.3909792,NA,NA
"277",5.4281211,NA,NA
"278",5.4741476,NA,NA
"279",5.5293654,NA,NA
"280",5.5870089,NA,NA
"281",5.6327736,NA,NA
"282",5.6680853,NA,NA
"283",5.6950813,NA,NA
"284",5.7153885,NA,NA
"285",5.742985,NA,NA
"286",5.7841149,NA,NA
"287",5.8307049,NA,NA
"288",5.8715131,NA,NA
"289",5.8997715,NA,NA
"290",5.9122806,NA,NA
"291",5.9128713,NA,NA
"292",5.9113085,5.90833162234365,NA
"293",5.9140911,5.90312595659209,NA
"294",5.9171855,5.89983626809992,NA
"295",NA,5.90000768137057,5.92297590942774
"296",NA,5.9040084668103,5.92738760407575
"297",NA,5.91081247137409,5.92763970137344
"298",NA,5.91962326162951,5.9244845477566
"299",NA,5.92979535614475,5.92054261995826
"300",NA,5.94121028024077,5.91850615805288
"301",NA,5.95400209145524,5.91954008314621
"302",NA,5.96803088019179,5.92285160095259
"303",NA,5.98265744292955,5.92647337179763
"304",NA,5.9976746859682,5.92898859638638
"305",NA,6.01391968482134,5.93116047959979
"306",NA,6.03093872703539,5.93406307884093
"307",NA,6.04834330205076,5.93788432614907
"308",NA,6.06593589348677,5.94326282475856
"309",NA,6.08247530956245,5.94885167544919
"310",NA,6.09744940679899,5.95345233444188
"311",NA,6.1117237776769,5.95726836385449
"312",NA,6.12641264939567,5.96111276125482
"313",NA,6.14216465348387,5.96574403924346
